0,0
100,0
200,0
300,0
400,0
500,0
600,15
700,0
800,0
900,0
1000,16
1100,0
1200,0
1300,16
1400,15
1500,0
1600,16
1700,16
1800,15
1900,16
2000,15
2100,16
2200,16
2300,16
2400,16
2500,16
2600,31
2700,16
2800,31
2900,31
3000,31
3100,32
3200,31
3300,47
3400,31
3500,31
3600,47
3700,47
3800,47
3900,46
4000,63
4100,47
4200,62
4300,63
4400,62
4500,94
4600,78
4700,63
4800,78
4900,78
5000,78
5100,78
5200,78
5300,94
5400,93
5500,94
5600,94
5700,109
5800,109
5900,110
6000,109
6100,109
6200,125
6300,125
6400,125
6500,125
6600,140
6700,141
6800,140
6900,156
7000,157
7100,172
7200,187
7300,188
7400,187
7500,219
7600,203
7700,234
7800,219
7900,219
8000,219
8100,203
8200,235
8300,218
8400,266
8500,234
8600,375
8700,297
8800,265
8900,297
9000,297
9100,281
9200,344
9300,296
9400,297
9500,360
9600,390
9700,344
9800,359
9900,329
10000,328
10100,391
10200,391
10300,375
10400,390
10500,422
10600,422
10700,390
10800,391
10900,531
11000,578
11100,422
11200,484
11300,454
11400,453
11500,500
11600,485
11700,515
11800,547
11900,516
12000,657
12100,609
12200,531
12300,547
12400,578
12500,578
12600,547
12700,532
12800,531
12900,547
13000,547
13100,562
13200,578
13300,594
13400,578
13500,594
13600,625
13700,609
13800,625
13900,641
14000,640
14100,657
14200,672
14300,687
14400,719
14500,703
14600,719
14700,734
14800,750
14900,766
15000,750
15100,781
15200,781
15300,781
15400,844
15500,813
15600,828
15700,828
15800,844
15900,875
16000,859
16100,875
16200,891
16300,922
16400,921
16500,922
16600,938
16700,953
16800,984
16900,969
17000,984
17100,985
17200,1000
17300,1015
17400,1000
17500,1047
17600,1047
17700,1047
17800,1093
17900,1079
18000,1078
18100,1125
18200,1140
18300,1125
18400,1156
18500,1172
18600,1172
18700,1234
18800,1203
18900,1422
19000,1578
19100,1406
19200,1281
19300,1281
19400,1282
19500,1359
19600,1344
19700,1359
19800,1344
19900,1391
20000,1453
